id_bdq;foco_id;lat;lon;data_pas;pais;estado;municipio;bioma
 1503597461 ;f186dd11-90c6-3f12-85c5-3212d61f54aa;  -19.096000 ;  -40.375000 ;2020-07-13 16:35:00;Brasil;ESPÍRITO SANTO;GOVERNADOR LINDENBERG;Mata Atlântica
 1505191095 ;fd747ff7-9cf2-3cf9-a079-6fdf1f0d81f4;  -19.520000 ;  -40.088000 ;2020-07-28 15:50:00;Brasil;ESPÍRITO SANTO;LINHARES;Mata Atlântica
 1505279202 ;dc02d14d-a734-3175-928b-0d935780db89;  -20.856000 ;  -41.150000 ;2020-07-29 16:35:00;Brasil;ESPÍRITO SANTO;CACHOEIRO DE ITAPEMIRIM;Mata Atlântica
 1505279171 ;d8b7dffe-343f-3341-a7f1-4e3a1ca4fde0;  -20.854000 ;  -41.140000 ;2020-07-29 16:35:00;Brasil;ESPÍRITO SANTO;CACHOEIRO DE ITAPEMIRIM;Mata Atlântica
 1505279102 ;922e67dc-f554-39ef-9cfa-ba9726a267de;  -20.932000 ;  -41.039000 ;2020-07-29 16:35:00;Brasil;ESPÍRITO SANTO;ITAPEMIRIM;Mata Atlântica
 1505279286 ;74062938-1a51-3ec8-a051-36ba072de8f9;  -19.538000 ;  -40.141000 ;2020-07-29 16:35:00;Brasil;ESPÍRITO SANTO;LINHARES;Mata Atlântica
 1505279285 ;2b687930-2d2a-3209-b7c5-9a204ef2726c;  -19.534000 ;  -40.137000 ;2020-07-29 16:35:00;Brasil;ESPÍRITO SANTO;LINHARES;Mata Atlântica
 1505279283 ;47309d0d-b4e5-3860-81c5-369cb6b17db0;  -18.910000 ;  -40.401000 ;2020-07-29 16:35:00;Brasil;ESPÍRITO SANTO;SÃO GABRIEL DA PALHA;Mata Atlântica
 1505279282 ;56d212f4-ddaa-3e45-b0b7-c3ce38c343bb;  -18.654000 ;  -40.068000 ;2020-07-29 16:35:00;Brasil;ESPÍRITO SANTO;SÃO MATEUS;Mata Atlântica
 1505279280 ;4a767a48-3619-3527-9e57-b7a841172b44;  -18.653000 ;  -40.057000 ;2020-07-29 16:35:00;Brasil;ESPÍRITO SANTO;SÃO MATEUS;Mata Atlântica
 1505279276 ;e7da692e-5e8d-3562-9567-d342c3b3df52;  -18.566000 ;  -40.497000 ;2020-07-29 16:35:00;Brasil;ESPÍRITO SANTO;NOVA VENÉCIA;Mata Atlântica
 1505279275 ;81e3b6dd-7028-3bac-9144-e623fb7bb701;  -18.557000 ;  -40.498000 ;2020-07-29 16:35:00;Brasil;ESPÍRITO SANTO;NOVA VENÉCIA;Mata Atlântica
 1505279274 ;2d53b5f1-c813-3e86-89c4-47e2a16f2c1d;  -18.401000 ;  -40.996000 ;2020-07-29 16:35:00;Brasil;ESPÍRITO SANTO;ECOPORANGA;Mata Atlântica
 1505279273 ;97e35ea8-fa53-30e7-beed-ec1cb31b6100;  -18.390000 ;  -39.949000 ;2020-07-29 16:35:00;Brasil;ESPÍRITO SANTO;PINHEIROS;Mata Atlântica
 1505279271 ;6e08710d-e391-36f2-8523-af4d0be13192;  -18.307000 ;  -40.074000 ;2020-07-29 16:35:00;Brasil;ESPÍRITO SANTO;PINHEIROS;Mata Atlântica
